Sentiment,Tweets
Negative,Elon Musk pitches 150 MPH rides in Boring Company tunnels for $1 - —Sounds good.  But it’s just downtown... https://t.co/ewMT6zy4Cr
Positive,RT @raaleh: Elon Musk has regressed from 2012 era “good sir you owe me a new keyboard and I will be paid in bacon!”    all the way back to…
Neutral,"RT @tictoc: ⚡️ “Here's Elon Musk's $1-a-ride L.A. tunnel system plan”

https://t.co/ZLw83dHkAJ"
Negative,Elon Musk's Boring Company reveals exciting ambitions - https://t.co/zFVggPmLMn via https://t.co/PSJJSOLfmD
Neutral,"#Tesla, arriva in soccorso il miliardario americano George Soros, con un investimento di 35 miliardi in obbligazion… https://t.co/Tf74kiRRZE"
Negative,RT @tictoc: Elon Musk and the Boring Company's first tunnel under LA is nearing completion. Here's the sneak peek #tictocnews https://t.co/…
Positive,RT @raaleh: Elon Musk has regressed from 2012 era “good sir you owe me a new keyboard and I will be paid in bacon!”    all the way back to…
Neutral,"RT @tictoc: Q: Will you organize a big party before the tunnel launch? 
A: ""Of course. This would be a trippy place to throw a party,"" says…"
Neutral,RT @stnkylizard: The similarities between Mr. Crabs and Elon Musk are uncanny
Positive,Elon Musk holds rare town hall to address Los Angeles traffic tunnel concerns #LosAngeles #LA #LAX https://t.co/Pay5Gl6pm7
Neutral,Conoce el iPhone X 'Tesla' con batería infinita (Fotos) https://t.co/9y3hL6Q9x4 https://t.co/50qyRJUlUS
Neutral,"@themisszozo @BTSxFRARMY @BTS_twt Y'a de la danse et de la ""mise en scène"", je trouve juste la réaction étrange, c'… https://t.co/mw8X1hyEp6"
Neutral,Elon Musk is the man.
Positive,"A right Royal beauty! 

The beautiful aroma of apple, pear, lemon, mandarin and loganberry fused with freesia, wate… https://t.co/mnzXvVrwGj"
Negative,The biggest news from Elon Musk's Boring Company meeting in LA - https://t.co/dWmy2qTRHB via https://t.co/PSJJSOLfmD
